column,missing_count,missing_pct
flow_packets_s,313,0.0782
flow_bytes_s,313,0.0782
destination_port,0,0.0
average_packet_size,0,0.0
fwd_avg_bulk_rate,0,0.0
fwd_avg_packets_bulk,0,0.0
fwd_avg_bytes_bulk,0,0.0
fwd_header_length_1,0,0.0
avg_bwd_segment_size,0,0.0
avg_fwd_segment_size,0,0.0
down_up_ratio,0,0.0
bwd_avg_packets_bulk,0,0.0
ece_flag_count,0,0.0
cwe_flag_count,0,0.0
urg_flag_count,0,0.0
ack_flag_count,0,0.0
psh_flag_count,0,0.0
rst_flag_count,0,0.0
syn_flag_count,0,0.0
fin_flag_count,0,0.0
bwd_avg_bytes_bulk,0,0.0
bwd_avg_bulk_rate,0,0.0
packet_length_std,0,0.0
subflow_fwd_packets,0,0.0
idle_min,0,0.0
idle_max,0,0.0
idle_std,0,0.0
idle_mean,0,0.0
active_min,0,0.0
active_max,0,0.0
active_std,0,0.0
active_mean,0,0.0
min_seg_size_forward,0,0.0
act_data_pkt_fwd,0,0.0
init_win_bytes_backward,0,0.0
init_win_bytes_forward,0,0.0
subflow_bwd_bytes,0,0.0
subflow_bwd_packets,0,0.0
subflow_fwd_bytes,0,0.0
packet_length_variance,0,0.0
max_packet_length,0,0.0
packet_length_mean,0,0.0
bwd_packet_length_max,0,0.0
flow_iat_min,0,0.0
flow_iat_max,0,0.0
flow_iat_std,0,0.0
flow_iat_mean,0,0.0
bwd_packet_length_std,0,0.0
bwd_packet_length_mean,0,0.0
bwd_packet_length_min,0,0.0
fwd_packet_length_std,0,0.0
flow_duration,0,0.0
fwd_packet_length_mean,0,0.0
fwd_packet_length_min,0,0.0
fwd_packet_length_max,0,0.0
total_length_of_bwd_packets,0,0.0
total_length_of_fwd_packets,0,0.0
total_backward_packets,0,0.0
total_fwd_packets,0,0.0
fwd_iat_total,0,0.0
fwd_iat_mean,0,0.0
fwd_iat_std,0,0.0
fwd_iat_max,0,0.0
min_packet_length,0,0.0
bwd_packets_s,0,0.0
fwd_packets_s,0,0.0
bwd_header_length,0,0.0
fwd_header_length,0,0.0
bwd_urg_flags,0,0.0
fwd_urg_flags,0,0.0
bwd_psh_flags,0,0.0
fwd_psh_flags,0,0.0
bwd_iat_min,0,0.0
bwd_iat_max,0,0.0
bwd_iat_std,0,0.0
bwd_iat_mean,0,0.0
bwd_iat_total,0,0.0
fwd_iat_min,0,0.0
label,0,0.0
